Source,Target
MybjNcFLgDXBNJb,
Zhaolina517,SpokespersonCHN
YusufTu60296806,ChinaConSydney
Darwinnnnnn3,DELAYNO_MORE
taetaettaemune,lheais
BoboHuimsY,SpokespersonCHN
ZuoyongC,libijian2
lostinsummer09,nathanlawkc
doudoulone,SpokespersonCHN
yeyinchuan,SpokespersonCHN
ohowkp,lunareadingnote
isaridewi,Jingjing_Li
love5201314m,SpokespersonCHN
pabobi6,chinese4uyghurs
EGHYiImnjqdlcFr,SpokespersonCHN
cestrach,nathanlawkc
fantine127,SpokespersonCHN
zytshanghai,SpokespersonCHN
psilvercomm,Jingjing_Li
ZhuBojing,SpokespersonCHN
lwyxian,lheais
gath24,AnneDestiny1
MWcommie,Jingjing_Li
pippy1987,nathanlawkc
kurdish_prince0,Alfred_Uyghur
Momoeena26,aizhongchina
XiaoYewen,SpokespersonCHN
RainAlwaysStops,nathanlawkc
pirrio4,spyropic
james88559147,chinese4uyghurs
yashar222769451,Alfred_Uyghur
NCT_Adam,senjatanuklir
heisenberg5061,CGTNOfficial
NNeicai,SpokespersonCHN
LValie1,
kanra__,lheais
Jiaqi_Wang_0213,SpokespersonCHN
PlanetMeooow,Jingjing_Li
vivian6788,nathanlawkc
clumsyibo,lheais
yel3ankon,Jingjing_Li
Abiao79016141,SpokespersonCHN
LondonHanfuCN,
Willspeakup1,nathanlawkc
whosyourdaddy34,jooeysiiu
PlanetMeooow,MscAmir1
LeungWanyipCHN,WanyipLeungCHN
RaymondLeungCHN,WanyipLeungCHN
mizchocolatera1,Alfred_Uyghur
WanyipLeungCHN,
seororo_O,aizhongchina
isaridewi,CGTNOfficial
AuroreTheWolf,lheais
isaridewi,yicaichina
CTUCATPERSON,SpokespersonCHN
Leung18188868,nathanlawkc
nuanced_nl,CGTNOfficial
LeungWanyipCHN,SpokespersonCHN
YeeLU11,SpokespersonCHN
goldquee,spyropic
dattebane__,spyropic
AltynIsTheBest,nathanlawkc
Erudidact,
Courage20201,jenniferatntd
chinacgedi,SpokespersonCHN
kevinyou318,
laurianerogerli,
MariaWe82718272,
peresuslog,nathanlawkc
peresuslog,Alfred_Uyghur
Yuxian2020517,SpokespersonCHN
cooland413,xinjiangchannel
bideangoaz,chispanorama
Kublai_78,CGTNOfficial
ropan1983,SpokespersonCHN
isaridewi,Jingjing_Li
Pu_i1023,aizhongchina
DanCDO7,Mango_Press_
JimHLee,nathanlawkc
mizakalili,chinese4uyghurs
DeanAChandler,jooeysiiu
PatPun,nathanlawkc
Squirre21170340,
War_is_Spin,CGTNOfficial
Moonlig84618218,chinese4uyghurs
Yhmo9,Alfred_Uyghur
FargogoFar,chinese4uyghurs
yoriobliviate,SpokespersonCHN
Alee66452364,Alfred_Uyghur
GumiiHK,nathanlawkc
sarasarasahh,Alfred_Uyghur
tinthefatty,nathanlawkc
TibetPeople,
se0kjin_supreme,
NuoyiO,Jingjing_Li
CarolW6789,nathanlawkc
LeoLau_BNO,nathanlawkc
Moonlig84618218,nathanlawkc
azmanabila,nathanlawkc
chispanorama,
jlx517,SpokespersonCHN
UyghurUS,Alfred_Uyghur
CoachBlu55,Alfred_Uyghur
Cutiebabybyun,senjatanuklir
TXPY9LmG1xX6V8F,SpokespersonCHN
evacakman,SpokespersonCHN
sretardniece,SpokespersonCHN
Ragnarking1234,SpokespersonCHN
yibosjiejie,lheais
sretardniece,
ShawTim,Alfred_Uyghur
yazi2k,nathanlawkc
AeeL69461046,lheais
Ericchu55390181,jooeysiiu
zhangwr7,CGTNOfficial
Norvisky,WangGuanBeijing
hourableteam1,CGTNOfficial
nla148,mkhochman
JeremiahHsu,chinese4uyghurs
Lisali22431583,SpokespersonCHN
Zoe28180331,Jingjing_Li
BigHead69904255,xinjiangchannel
BigHead69904255,CGTNOfficial
micha_lily,lheais
MarcinMatus,jenniferatntd
shizuka_wind,chinese4uyghurs
Ruby543604626,SpokespersonCHN
ahtpoon,dayana_dy
stanukiss2K21,lheais
ConnieArklinks,Alfred_Uyghur
k_r_n_o,nathanlawkc
ahtpoon,Jingjing_Li
maryjowei,
Zhenjin7,XjReport
ninjanekokuro3,lheais
IQueenjie,nathanlawkc
nhohn2011,Jingjing_Li
wussshshs,Alfred_Uyghur
q24hpexHeqpCUvm,nathanlawkc
ray14952670,jooeysiiu
ray14952670,nathanlawkc
dingaifei,spyropic
HenryGu99198899,WangGuanBeijing
DeutschlandKat1,
DeutschlandKat1,
formosa0813,lheais
currentcurrant9,
spinnakergirl,
NivesGilbert,nathanlawkc
ElaineTse6,nathanlawkc
SYCL13,nathanlawkc
YongDaeBerry,aizhongchina
Chat_Syi,spyropic
hk_fei,Alfred_Uyghur
dez1o1,
kehat13,nathanlawkc
WKRyanDub,nathanlawkc
AbiyFrom,ChinaMissionGva
g7o9AMV5dhuY39i,SpokespersonCHN
DecemberC9,nathanlawkc
tc_alfred,nathanlawkc
manggala2019,Alfred_Uyghur
THIYIAUNG1,nathanlawkc
kapangyaii,noonenoone168
kapangyaii,Jingjing_Li
ydgr5,Alfred_Uyghur
WQingxian,Mango_Press_
OpenOur3y3s,
Zulu55094625,lheais
pennyzhou025,chinese4uyghurs
AnneDestiny1,AnneDestiny1
ismyhome_free,chinese4uyghurs
MeripetU,AnneDestiny1
HONGKONGISNOTC1,
TonyWenCNEU,Jingjing_Li
WhyChina99,jenniferatntd
SafikSsenyonga,nathanlawkc
KelleyCurrie,
satitsueb,spyropic
phylc2,nathanlawkc
aquafinalist,ChinaDaily
JAMProject23,jooeysiiu
Gl89489455,Alfred_Uyghur
GraceBride1,ChinaDaily
dakache01,chinese4uyghurs
uY3qAwcJxeQBqne,SpokespersonCHN
hk_fei,jooeysiiu
Elizabethllllee,
inaniscaelum,nathanlawkc
AmirVarando,Alfred_Uyghur
keyforcream,aizhongchina
macave16,
samilsocialista,SpokespersonCHN
AnarchyVF,chinese4uyghurs
AbubakaarCh,
Ferin1A,LXMXinjiang4
Ferin1A,xinjiangchannel
ChapiEsteros,Jingjing_Li
wtf066,HkerGlo
dreamycat10,nathanlawkc
Anniedeboer98,nathanlawkc
757747544,chinese4uyghurs
NFSC_G_Series,
ArpoLFC,aizhongchina
NFSC_G_Series,
zhu_zhina,nathanlawkc
Ferin1A,aizhongchina
longliveyujin,
garravelilla,SpokespersonCHN
1016nuko,BenSoloLA
xkswz355,lunareadingnote
DeepADiver2,
jj_nisa,aizhongchina
DeepADiver2,
1016nuko,BenSoloLA
ellakemp32,SpokespersonCHN
AliUighur,AnneDestiny1
lei3233,Jingjing_Li
Will18899972,SpokespersonCHN
SATHTET1,nathanlawkc
arthurrimbaud64,nathanlawkc
aleebj_ly,nathanlawkc
757747544,nathanlawkc
wqiuqiu,BarrettYouTube
idikut_uygur,AnneDestiny1
longliveyujin,TorontoFarmEN
shuaibcolin,chinese4uyghurs
wtf066,Alfred_Uyghur
GoldenR71017954,chinese4uyghurs
commonPi,chinese4uyghurs
yysy1806,nathanlawkc
Sam_Kooooooo,nathanlawkc
NGA22298831,Alfred_Uyghur
_tsoureki_,NNFPReturn
bennywu48542487,WangGuanBeijing
amigo34737590,xinjiangchannel
Antiecofasciste,NNFPReturn
aisyahnurulum02,spyropic
Antiecofasciste,NNFPReturn
YawenXu17,
Starbuck3201,
mwfenixsx,SpokespersonCHN
lightkelvinbag,Jingjing_Li
munisa323,Alfred_Uyghur
Sherman89,WangGuanBeijing
Maredioa,
la11811,SpokespersonCHN
saluspopuliorg,YawenXu17
eric50802082,LindaTangUSA
a_m_r001,Alfred_Uyghur
wtf066,nathanlawkc
longliveyujin,jooeysiiu
hualiansss,nathanlawkc
viccckylai,chinese4uyghurs
tumbleweedjurny,SpokespersonCHN
maitrijen,BenSoloLA
yyhrsayhi,
BBFat11,nathanlawkc
Bruno_ZZL,WangGuanBeijing
jiashidu,LindaTangUSA
MWcommie,CGTNOfficial
hualiansss,GestapolicePoo
Thu Mar 25 19:52:02 +0000 2021,
LindaTangUSA,
KOTETSU__www,WangGuanBeijing
ngonggau,finmeteor
sehraf01,Alfred_Uyghur
xwy777,SpokespersonCHN
hualiansss,spyropic
NYNnaidesu,SpokespersonCHN
VIIBEBIE,aizhongchina
fcd78,Jingjing_Li
Yangaiiii,SpokespersonCHN
errordesconocid,Jingjing_Li
uzunyol991,chinese4uyghurs
OpenOur3y3s,
DeepADiver2,
buneri1990,CGTNOfficial
ughnoemi,lheais
hwalaz52,nathanlawkc
DeepADiver2,
Iberprolet,Jingjing_Li
yourettiwtme,BarrettYouTube
Nadudexoxo,aizhongchina
KUdhayavani,nathanlawkc
hkterrified,nathanlawkc
Oscarfreddymina,SpokespersonCHN
JohnnyJ53716428,Jingjing_Li
keyu95223492,nathanlawkc
YuFm1VJCyQt2aSr,SpokespersonCHN
xmmooxx,nathanlawkc
NNFPReturn,
NNFPReturn,
NNFPReturn,
Petteryoung96,SpokespersonCHN
agopramudyaura,Jingjing_Li
BroodjeKaas19,nathanlawkc
Angusliu66,YawenXu17
opuugrhnf,nathanlawkc
Eye1The3nd,TorontoFarmEN
silapata,aizhongchina
131123542wer,spyropic
JayFofah,SpokespersonCHN
mercury_freeHK,nathanlawkc
Alexand68622460,guardlaoxue
Daniel07003234,chinese4uyghurs
buzzlightyear58,nathanlawkc
AoyuSun,PDChina
Eye1The3nd,TorontoFarmEN
Osuedan,BarrettYouTube
prakai11,aizhongchina
UHRP_Chinese,chinese4uyghurs
131123542wer,Jingjing_Li
MyBlueMy,aizhongchina
orwellnow2047,nathanlawkc
Petetpan9,SpokespersonCHN
Bonnienie4,
bluvieee,aizhongchina
comradekim4,Jingjing_Li
ani3small,
Foyez_Ashik,Alfred_Uyghur
daaadaaama,aizhongchina
Tina_Loves_Cats,Jingjing_Li
XinjiangCotton,
narryyonce,Jingjing_Li
FaysalRamses1,PeoplesDailyapp
MC46939500,BarrettYouTube
Saintony,chinese4uyghurs
XinjiangCotton,
bailulus,lheais
jessicalhk,nathanlawkc
Trumpussy2020,dayana_dy
EspaguetisVkook,
KelleyCurrie,
Bonnienie4,
MaKuoHua,MscAmir1
Yisman12,lunareadingnote
Kent73790260,Jingjing_Li
Kent73790260,Jingjing_Li
jtmtaemin,globaltimesnews
johandemeuleme1,Jingjing_Li
asliamitt,nathanlawkc
netchys,Jingjing_Li
zyxfk,spyropic
mktmag,aizhongchina
hourableteam1,WangGuanBeijing
XinjiangCotton,
espresso_robot,nathanlawkc
Bonnienie4,
dorkos84,lheais
EspaguetisVkook,Jingjing_Li
sjournot,Jingjing_Li
EspaguetisVkook,spyropic
NanaPochi1,jooeysiiu
elitepapinaPR13,SpokespersonCHN
EspaguetisVkook,noonenoone168
elitepapinaPR13,Jingjing_Li
Bea_w24,lheais
FakeWelt,Jingjing_Li
NanaPochi1,nathanlawkc
yeung_lap,Jingjing_Li
yulovemew,SpokespersonCHN
elitepapinaPR13,spyropic
________Ans,Jingjing_Li
E_Fredette,
Save_NajibullaS,Alfred_Uyghur
PerlaSagastegui,lheais
widoskenofnfe,chinese4uyghurs
Wwycc1,nathanlawkc
eEtAFTQtuzKqICB,chinese4uyghurs
BgwfsY04HGEbwTi,xinjiangchannel
istrebki,xinjiangchannel
elitepapinaPR13,chinascio
Ryuu2814,nathanlawkc
debbie_qvq,chinese4uyghurs
HghKyle,Jingjing_Li
MickyJTrump,nathanlawkc
Catrix_BorninHK,
chowtszlok2019,
sunnyxian,lheais
pau_ferrr,nathanlawkc
eulaties,Jingjing_Li
LondonHanfuCN,Jingjing_Li
MingwLee,nathanlawkc
Chonza,Jingjing_Li
eliyartursun,Alfred_Uyghur
juneslnn,Junheng_Li
xiaonaitu,spyropic
mizshellytee,Mango_Press_
ginsightstest,nathanlawkc
freedomgooner,nathanlawkc
zacao,jooeysiiu
pvDustinDawn,Alfred_Uyghur
Ryan65248375,nathanlawkc
Lin3731,spyropic
wonw080,
offWuxian,lheais
kaisooxingtao,nathanlawkc
Set_Lunch_C,jooeysiiu
tjuaom,SpokespersonCHN
forhkmemes,jooeysiiu
missioncritica,WangGuanBeijing
rosey9807,
comradeTL,xinjiangchannel
jeffrey31869358,SpokespersonCHN
Fishbal57634660,nathanlawkc
LeiLi72713375,globaltimesnews
innietsanggg,jooeysiiu
beautifulcrime,lheais
arnauld,lingli_vienna
LEKKAE,aizhongchina
dunnchan,nathanlawkc
X__CP9,WangGuanBeijing
YQiqing,SilingWu
angelic26393252,nathanlawkc
bijayag68983878,WangGuanBeijing
fchaumac_chau,Mango_Press_
ployeb,aizhongchina
Petrichordawn,nathanlawkc
HongkongerMmm,nathanlawkc
huruyipekin,nathanlawkc
RuiXinHan,chinese4uyghurs
sunnyberyllai,
YQGZtuxK7m1CSvl,WangGuanBeijing
yeye_jyf,WangGuanBeijing
PseudoDANG,Jingjing_Li
JoeomegaJoet,nathanlawkc
NervVGC,jooeysiiu
Darunee_2554,aizhongchina
Lancelot950,SpokespersonCHN
YanNain45580893,nathanlawkc
Clay1016,
yoonmyataung,nathanlawkc
XWlling,CGTNOfficial
Muhammad__Ashik,Alfred_Uyghur
meko81775687,nathanlawkc
wangjihoney,lheais
NichkHkg,jooeysiiu
malucklo1,BenniPosenov
sikingthegreat1,jooeysiiu
anoukwr,jooeysiiu
bealin_11,lheais
tomking202007,dayana_dy
Simonba74029639,CGTNOfficial
naushadansari32,Alfred_Uyghur
btcadalink,
zhang_heqing,WangGuanBeijing
HegeoNewBangy,SpokespersonCHN
SuSu56657276,nathanlawkc
yang1_tina,
VivianZ24973848,Jingjing_Li
alonedierest,aizhongchina
wang_maya,chinese4uyghurs
BenniPosenov,
rinaldybaker,AnneDestiny1
GeneralkonsulDu,ChinaDaily
logan_forrest_,Alfred_Uyghur
29xxackermankid,nathanlawkc
jinju48728392,SpokespersonCHN
greenrain2008,nathanlawkc
ronniechoichoi,Alfred_Uyghur
YJ_Huang01,Jingjing_Li
planetjani,jooeysiiu
flm1139,SpokespersonCHN
Lily35435197,Jingjing_Li
mindsoul,Jingjing_Li
liyan06316016,SpokespersonCHN
financetwitting,
feng010219,xinjiangchannel
Flowerhanako1,Alfred_Uyghur
AquaAwaits,Alfred_Uyghur
fchaumac_chau,Jingjing_Li
RJ22127676,chinese4uyghurs
Mustafacan_Aksu,Alfred_Uyghur
MohamhadL,
KN_Sui121,spyropic
jomsulang1997,Wendy54311691
Dborah11937147,
mynameisKalai,lheais
Aahmattt,AnneDestiny1
Kayaautumn1,jooeysiiu
JonathanDesiny,nathanlawkc
sam0sang,nathanlawkc
htethtet333,nathanlawkc
MyIslamJourney,Alfred_Uyghur
Dborah11937147,CGTNOfficial
arslan_hidayat,Alfred_Uyghur
meixian0603,
aBIyxobDiRhzdSW,nathanlawkc
WanQingInUK,CGTNOfficial
OnionOnion39,nathanlawkc
eliana41942573,nathanlawkc
greenrain2008,jooeysiiu
YuqiangJ,
danehrlich11,jooeysiiu
ChelseaShi7,
RaylanWill,CGTNOfficial
0830bAmy,nathanlawkc
brandoncao10,dayana_dy
yourettiwtme,SpokespersonCHN
Mike27010303,nathanlawkc
artistliuyang,
luvmocha__,nathanlawkc
Eliza38855789,BernardToHK
ka851110,nathanlawkc
aimy17127239,Alfred_Uyghur
dadA9999996,jenniferatntd
GE0KUR,SpokespersonCHN
hosseinmasudian,
republikanen1,CGTNOfficial
DL9498,Jingjing_Li
HkhappyL,nathanlawkc
cxle_,aizhongchina
sanchingon7,xinjiangchannel
shanqiu1989,WangGuanBeijing
KhineSwamAung,nathanlawkc
HMurmurs,spyropic
SallyWo42411402,Jingjing_Li
KoKoNai34856019,nathanlawkc
Laugh2thend,Langley02_
christain0922,
meixian0603,
TUTU49995195,nathanlawkc
Lily35435197,SpokespersonCHN
Tubtimp1,nathanlawkc
Flowerhanako1,nathanlawkc
HangdaZhang,
OnlyWongs,WangGuanBeijing
Laugh2thend,nathanlawkc
TLWong8,
AclarandoVerdad,jenniferatntd
ItsJamieGray,Jingjing_Li
meixian0603,TorontoFarmEN
PoliteaChen,ChinaEmbSL
mariesjs,lheais
lomichi_,nathanlawkc
meixian0603,spyropic
owsechill,lheais
meixian0603,nathanlawkc
UcoJdy8iMzFfgMZ,
siyiwinnie,chinese4uyghurs
Lenny_C10,LXMXinjiang4
linda23595974,nathanlawkc
DuckD_11,SpokespersonCHN
dannikzair,lheais
fchaumac_chau,libijian2
Anon_HKer,nathanlawkc
mylittlehotpot,jooeysiiu
wsygddzz,lunareadingnote
SsXinru,SpokespersonCHN
egg03_hk,
Heisenberg20324,
siyiwinnie,TorontoFarmEN
MalHtar2,nathanlawkc
DE232sendai,
ChippyPills,Mango_Press_
LU76NLqOFPPk6Bw,Jingjing_Li
barellabrador1,SpokespersonCHN
siyiwinnie,realACLau
Mango_Press_,
OpenOur3y3s,
YaoYao51456262,SpokespersonCHN
ShawnLynott,AnneDestiny1
Hope314342,
laurianerogerli,
hing091,nathanlawkc
siyiwinnie,jooeysiiu
TWturtletony,nathanlawkc
siyiwinnie,nathanlawkc
MesHyper,
Juryy12,noonenoone168
Btirek1,Alfred_Uyghur
feng010219,SpokespersonCHN
LU76NLqOFPPk6Bw,SpokespersonCHN
zAN8yj2El6xH3uV,chinese4uyghurs
to_knj,Feli1Ann
Aybige53762924,AnneDestiny1
pluto_private,Jingjing_Li
SergeClaes1,nathanlawkc
JammerOxo,SpokespersonCHN
ArManHKCN,yicaichina
magonnews,aizhongchina
Oohseyoon4,nathanlawkc
ExarKun1949,SpokespersonCHN
ksksksks1212,aizhongchina
MayTharphe1,nathanlawkc
kiyoyui7,chinese4uyghurs
ronniechoichoi,nathanlawkc
solitarol,
Babyfire19,HollyM80678769
IotaKitty,
ohselele994,nathanlawkc
alienhui33,SpokespersonCHN
ya94653534,SpokespersonCHN
alladessatweets,
MouseKingFan89,jooeysiiu
Linshimin617,SpokespersonCHN
Onehorseguy5,globaltimesnews
artistliuyang,SpokespersonCHN
alice19256,CGTNOfficial
miasanjoni,nathanlawkc
pajamamon,globaltimesnews
ZHAO___YJ,SpokespersonCHN
fchaumac_chau,Dborah11937147
Last_Bluemoon,Jingjing_Li
tomleuang,nathanlawkc
Chunhui93255971,SpokespersonCHN
queenoffthedark,JessicaZ1018
BernardToHK,
FelipeTChung,
fchaumac_chau,CGTNOfficial
zaw_htet_aung_,nathanlawkc
Chani_Bayle,jenniferatntd
jazzyjay176,jenniferatntd
PLoyyy08690702,Jingjing_Li
andy7218311001,nathanlawkc
ChrliiiDAmeLio,nathanlawkc
Raimondvzla,SpokespersonCHN
SonnyGoten,YawenXu17
itskkkay,chinese4uyghurs
htethtet_naing,
Raimondvzla,ChinaDaily
curiouschocmint,nathanlawkc
Kaung06434870,nathanlawkc
mark_melon99,nathanlawkc
lmfine74310,nathanlawkc
standwi42544227,nathanlawkc
i8iyDtVsJ1d0zLo,
SiborSun,SpokespersonCHN
linweidong703,SpokespersonCHN
iceup,nathanlawkc
Kennixkalenc,nathanlawkc
pullyamore,jooeysiiu
friendno21,jooeysiiu
mZysyr0fXRULhbU,SpokespersonCHN
yzw28465741,
RudyDrischel,AnneDestiny1
quantxmleap,senjatanuklir
DebbieTHK2,nathanlawkc
kelly_bucklee,nathanlawkc
NinetynineShake,globaltimesnews
SammiLuiee,nathanlawkc
Sifantastic666,Jingjing_Li
trebbelito,Jingjing_Li
SakuraTomoaki,aizhongchina
hkstudent_P,nathanlawkc
vTZHLo7y0Dmk77b,spyropic
lynnphyuphway,nathanlawkc
caidafan,
CaptainKacha,
wwww1999_,SpokespersonCHN
Peacefu15688441,nathanlawkc
llgminmin,SpokespersonCHN
Fallengrunt,nathanlawkc
OK_OKILA,BarrettYouTube
eXx3U4SDuZxrPKt,SpokespersonCHN
kfhk51,nathanlawkc
yangsonv,nathanlawkc
Fionawwo1,nathanlawkc
HiaokiBoo,SBBZBZSB
freehk77237756,nathanlawkc
celiameow1,nathanlawkc
NinetynineShake,ChinaDaily
Lm8MS7xu9J5YpvB,SpokespersonCHN
DannyLo97768522,SilingWu
Mihayeeee,Alfred_Uyghur
ghostdr92842351,nathanlawkc
Bea_w24,chinascio
SammiLuiee,jooeysiiu
hermessilval,SpokespersonCHN
minmaw22,nathanlawkc
LXXFightingHKer,nathanlawkc
mak_michael2008,nathanlawkc
JHL50471619,TorontoFarmEN
planet2333,SpokespersonCHN
wangjiful,lheais
Savanai148579,ChinaDaily
WanHK2019,jooeysiiu
Lina44095215,nathanlawkc
Judy25494585,
5MqRpO12nxeftpd,lunareadingnote
lVAjOhy13WYz6b8,SpokespersonCHN
Aahmattt,Alfred_Uyghur
KionTicky,CGTNOfficial
Luizmark6,nathanlawkc
GQAbbasi,SpokespersonCHN
buttonofpower,chinese4uyghurs
HKaelynn,nathanlawkc
Kafka60613837,nathanlawkc
SawMa35853085,nathanlawkc
Potatozzz4,nathanlawkc
maliwali77,Alfred_Uyghur
catcatparc,nathanlawkc
BernardToHK,nathanlawkc
BRASIL_ACABOU,
DanielPonidi,Jingjing_Li
MULj8Yo1jqDUZZR,Jingjing_Li
SethRichGangKGB,Alfred_Uyghur
LeReD_Ch,
xannyrsj,
MMJanXth,nathanlawkc
RoseThandar1,nathanlawkc
ViviYyue,yammaku
SophieL58112814,chinese4uyghurs
KionTicky,CGTNOfficial
westnorthwolf,SpokespersonCHN
YukikoSan13,nathanlawkc
Vicky07259597,SpokespersonCHN
WanHK2019,nathanlawkc
xin48014371,Jingjing_Li
Li67793577,nathanlawkc
KRLTMPH,nathanlawkc
VYPPPPP,
V1gxoTAn9X2px15,nathanlawkc
noonenoone168,
Xia0000827,SpokespersonCHN
iwlcvm9287,nathanlawkc
Xiaohan55335848,
pengfeng_lu,nathanlawkc
kaman_723,nathanlawkc
fchaumac_chau,SpokespersonCHN
kfhk51,jooeysiiu
a512177,SpokespersonCHN
CCFSO1,
LoveSon79090121,SpokespersonCHN
ApiWenuwen,ChinaEmbSL
a512177,yicaichina
a512177,CGTNOfficial
OttawaCommies,Jingjing_Li
windoublewin,SpokespersonCHN
Porkling3520,nathanlawkc
Janani_1210,nathanlawkc
FunPop7,SpokespersonCHN
cassTTAAecg,CGTNOfficial
nixekil,
ArkarMinPaing3,nathanlawkc
ynVMnd7Uej2hlQz,spyropic
hninwaddymyo,nathanlawkc
PyoneEiHlaing2,nathanlawkc
Rb9pQteCWmjz0Of,
d302911,SpokespersonCHN
Pepper_749,SpokespersonCHN
yangyang_cheng,chinese4uyghurs
Meggienova,nathanlawkc
BRASIL_ACABOU,ChinaEmbSL
Tiscale,SpokespersonCHN
YiSiping,BarrettYouTube
ChinaEmbSL,
Kristin71810517,SpokespersonCHN
fleurmedelis,lheais
takarcho,nathanlawkc
mysteriouskt00,nathanlawkc
2020_demm,aizhongchina
yifanzhong993,
WanQingInUK,ChinaDaily
Oliviadino10,nathanlawkc
avajelin,XjReport
jhonnyrojasvzla,nathanlawkc
trueJiahong,SpokespersonCHN
Kokokate8812,lheais
thoon_nandi,nathanlawkc
JeMeMTjkO5jh93r,dayana_dy
huizhedingli06,SpokespersonCHN
DELAYNO_MORE,SpokespersonCHN
wzylemonade,LXMXinjiang4
wangoi12345,jooeysiiu
highspeedlowdr3,SpokespersonCHN
ccpage28,nathanlawkc
Samiha137911,Dhillon1138
WithoutEdmondo,
yilimaixiang,SpokespersonCHN
URms099,nathanlawkc
JuliaAung4,nathanlawkc
Wwonderdami,SpokespersonCHN
HoKwanTsoi1,nathanlawkc
BluesAlbert,chinese4uyghurs
Evelyn79505548,SpokespersonCHN
BRASIL_ACABOU,CGTNOfficial
Rb9pQteCWmjz0Of,
kitty201718,nathanlawkc
pksomuch,spyropic
almondeyerun,nathanlawkc
5pk7Vnbeyzc2NWw,YawenXu17
realBlueWhite,Alfred_Uyghur
moko41667486,SpokespersonCHN
be_watermyfrd,jooeysiiu
dickycheng811,SpokespersonCHN
nuanced_nl,CGTNOfficial
PPNYE98,aizhongchina
WuMin80170593,spyropic
p2iM6lqK44mR9tk,CGTNOfficial
saleh67634,Jennife72676710
zlj517,SpokespersonCHN
tiantongtian,Jingjing_Li
sylbt,Jingjing_Li
Aumnovi1,CGTNOfficial
Aumnovi1,CGTNOfficial
soepapakhaing1,nathanlawkc
lqjiminv,
yu_zhou0930,
yin_hker,nathanlawkc
danielee2021,nathanlawkc
yilimaixiang,
du_plum,
Xiaohan55335848,
KhinHtetHtetCh3,nathanlawkc
Lorenzo94571344,Jingjing_Li
hcleung8,nathanlawkc
zouxianqin,SpokespersonCHN
CommunistNewsN,CGTNOfficial
Langley02_,
pengfeng_lu,
KKMan93624510,nathanlawkc
fMiExFrtVjG5CHF,
Lamedh11,
AnaLauraSoledad,JessicaZ1018
Jam13826408,jooeysiiu
9Tsuialex,nathanlawkc
ryan111c,nathanlawkc
enchantedfrst,Alfred_Uyghur
toniots,Jingjing_Li
JasmineZhang666,Jingjing_Li
suzukakanai,jenniferatntd
HnyotW,nathanlawkc
winghanching1,nathanlawkc
Xiaohan55335848,
PunishedMonkey,chinese4uyghurs
soldier02002,BarrettYouTube
Sens44677215,jooeysiiu
Angusliu66,Jingjing_Li
kwokuno,nathanlawkc
Bbilly55917636,SpokespersonCHN
albus33878105,chinese4uyghurs
Nickelo33117024,nathanlawkc
be_watermyfrd,nathanlawkc
coicoixx,
AnnieChuong1,nathanlawkc
niBLtHHacLXoMBT,SpokespersonCHN
blingbling_blin,SpokespersonCHN
kelvin86hk,chinese4uyghurs
king85563210,SpokespersonCHN
GUSUNYU7906,SpokespersonCHN
QianxiPotter,XjReport
QianxiPotter,XjReport
SougetsuYuki,SpokespersonCHN
vlenuveno,chinese4uyghurs
FREEDOMYELLOW69,
Tea0199478474,jenniferatntd
Jessica56390087,SpokespersonCHN
YaLan_PS260,
Chris741140418,SpokespersonCHN
Edisonchinaaa,SpokespersonCHN
HkersWe,nathanlawkc
budonghou,
Edisonchinaaa,spyropic
ZincirliEsek,Alfred_Uyghur
simsome2020,nathanlawkc
BearInHK2019,nathanlawkc
ChongGuru,YawenXu17
CrystalKazuma,spyropic
anum290,
x95ww616,SpokespersonCHN
love98982016,SpokespersonCHN
hky2147,nathanlawkc
hkgiyuu02,nathanlawkc
SeaGyp,
vrgrgthd,nathanlawkc
GenocideUyghur,Alfred_Uyghur
LittlePeopleVo1,nathanlawkc
JayinShanghai,Jingjing_Li
FREEDOMYELLOW69,nathanlawkc
EzinShida,spyropic
Bobby44562471,SpokespersonCHN
soldier02002,Mango_Press_
altiyahhh,spyropic
best24YANG,ChinaDaily
YukKelvin,nathanlawkc
77885354_A,
Stokely84895637,Jingjing_Li
Edisonchinaaa,
Nobody39888594,jooeysiiu
HeyderUyghur,AnneDestiny1
MonkeyS75222726,nathanlawkc
aisha_umay,AnneDestiny1
WanQingInUK,chinascio
Aumnovi1,BarrettYouTube
coolcatrr1,nathanlawkc
mayng514,
GRuijue,SpokespersonCHN
jacky73520231,jooeysiiu
BOAKAASH,lheais
Edisonchinaaa,
pinapa5,CGTNOfficial
JennyChungKY1,nathanlawkc
naiveAbel,Jingjing_Li
Sevsk11010101,Jingjing_Li
taizioko,zhouri_
sonoftaiwan,Alfred_Uyghur
waterisourfd,
baobeiii_,aizhongchina
ZinLay73013598,nathanlawkc
tracyinsg,guardlaoxue
AlfredChan,nathanlawkc
0x46524545484b,jooeysiiu
Lovelyseunie328,CGTNOfficial
PeiFei9,dayana_dy
Sweet60023722,SpokespersonCHN
xccsxbx,SpokespersonCHN
vlenuveno,jenniferatntd
QilinDelMondo,
interestingpipi,Dborah11937147
ZinKo23453914,nathanlawkc
rustbeltsparky,BarrettYouTube
zhouri_,
straul,
karukarubin,nathanlawkc
BeLLeBeLLehk,nathanlawkc
nurullsalsa,senjatanuklir
PeiFei9,Junheng_Li
saS912XOxgPePFX,ChinaConSydney
joshuamills044,CGTNOfficial
