Source,Target
wIYZTYgnRBGtDlc,chinese4uyghurs
Chip77454309,TorontoFarmEN
stuckedbeanesss,nathanlawkc
Oops51335622,jooeysiiu
pierrewang2,xinjiangchannel
JNWaynee,nathanlawkc
mithu796311,CarlZha
HcErLWVWCA7MECy,SpokespersonCHN
rotlamun42,yicaichina
keonaseo,taro_taylor
Chip77454309,badiucao
zhanshua,yicaichina
6all_mui,BruceWayne852
HaryatiKhan,yicaichina
lomicchi,
ic409,BruceWayne852
Livialamlam,BenSoloLA
icyngan22,SpokespersonCHN
fuyoutianxia,xinjiangchannel
Candy74291083,SpokespersonCHN
bassinfusion,taro_taylor
Chip77454309,BruceWayne852
ainiazhange,yicaichina
Chip77454309,nathanlawkc
jierbiden,xinjiangchannel
Oops51335622,nathanlawkc
moonboosuns,yicaichina
zhang_heqing,xinjiangchannel
XiaoZhanLipMole,yicaichina
Dude_Samaniego,CGTNOfficial
VilleageLeader,Q_Niu
hesanbin,WangGuanBeijing
Kim_Nooknick,aizhongchina
BruceWayne852,
Seanthewarrior,yicaichina
dlcmh,JessicaZ1018
jjkcuddly,yicaichina
waterwateriiii,SpokespersonCHN
iamyaozzz,SpokespersonCHN
X__CP9,xinjiangchannel
JSmithSkeptic,thinking_panda
fetuszhanzhan,yicaichina
wqiuqiu,taro_taylor
hfhongmayi,xinjiangchannel
Bobhell123,
Fujoshi739724,yicaichina
shucaileibaozha,xinjiangchannel
sushizhan,yicaichina
xinjiangchannel,
april1046,yicaichina
camellia2328,yicaichina
wuwhtay,SpokespersonCHN
fuyusawa,TW_nextmedia
Tweetychitchat,taro_taylor
5jaixiao5,yicaichina
XZ4ever1005,yicaichina
SSILoveHK,nathanlawkc
lilnighthikari,yicaichina
mortazavi,ShanghaiEye
lomicchi,thinking_panda
yicaichina,
Hero__lin,CGTNOfficial
fyYAYrh7DuZ473g,theserenadong
Sara_100568,yicaichina
Maryjoypascual9,yicaichina
news_beijing,
shunelattphoo,EchoHito
WhiteHongkonger,nathanlawkc
thinking_panda,
TimCat28328169,shou30jin
shunelattphoo,TorontoFarmEN
MN1fH5y9wx4uqXw,TorontoFarmEN
looufeixia,yicaichina
Rei12051005,yicaichina
light_spots,yicaichina
TTangdiombo,yicaichina
Thetruthofthew4,BikerChinese
ShanghaiEye,
Sainthouse1980,yicaichina
anxiousnhappy,nathanlawkc
kkzzeira,yicaichina
la_himalaya,
puma10061,TW_nextmedia
song_npc,TW_nextmedia
dya_daytoy,yicaichina
LuluMX90,yicaichina
misssquiddy,yicaichina
zhanchelle05,yicaichina
SiddyHuang,TW_nextmedia
youcanrunwithme,yicaichina
xzhan_s,yicaichina
zonanme,yicaichina
marites59,yicaichina
ChingBest,yicaichina
kimari0314,yicaichina
7Bw2euCEzWVbHI6,SpokespersonCHN
ardana333,nathanlawkc
RachelQu,jenniferatntd
uGFhCWJI7Lz8GMT,bZDuqTpTMhzVCuN
deezlue,yicaichina
knucklesmith,taro_taylor
Love4zhan,yicaichina
kmSbdCXZBz5GL1K,bZDuqTpTMhzVCuN
ChanelNumberTw4,yicaichina
doe_g,yicaichina
VsMjcqFy3i6TmsL,bZDuqTpTMhzVCuN
mckd40131278,SpokespersonCHN
sasa01491374,TW_nextmedia
UIIE5Fq7P1JM770,bZDuqTpTMhzVCuN
krispika01,yicaichina
huey4k,taro_taylor
AmKYJ5aoDZum6Oi,bZDuqTpTMhzVCuN
Mariade08870569,yicaichina
Orchid_Buns,yicaichina
bZDuqTpTMhzVCuN,
Jerrymi35037253,nathanlawkc
ThinksandSpeaks,Alfred_Uyghur
crimsonzhan,yicaichina
Zjx_Jystina,SpokespersonCHN
baiyoek,yicaichina
nidnidnid2013,yicaichina
Aceface4ever,CGTNOfficial
johannylander,
xzhansolove,yicaichina
ZY_XZ_YY_1991,yicaichina
coq10xz,yicaichina
tarunynorzo,CarlZha
cactiiberduri,yicaichina
CDAfricaNews,
msm1005041209,yicaichina
xyzDne,yicaichina
ptaoyao,yicaichina
BaconGrilled,
xxiia00zhan,yicaichina
pandorasbokz,badiucao
ChineseTeaArts,
_onebelle_,yicaichina
twitg1f6h1g2,nathanlawkc
ekoalamy,yicaichina
OhayoMattharin,yicaichina
JessicaZ1018,
RettaTeuk,yicaichina
EchoHito,
FedupUSExpat,
nuanced_nl,CarlZha
Zhuchenchen4,SpokespersonCHN
nakpungod,senjatanuklir
SweetZhanZhan,yicaichina
Daniel92547593,TorontoFarmEN
angelongonyama,
xmb0707,MscAmir1
Baliqis_xfx,yicaichina
xzmole0510,yicaichina
Pand86834407,2bdoge
AKENNAIN0304,nathanlawkc
2DFoLcKTIIWhyRW,TorontoFarmCN
ArthurX06,yicaichina
bingsoda,yicaichina
xav68696618,taro_taylor
barehands12,yicaichina
xiaohegu,TorontoFarmEN
koko07591415,TorontoFarmCN
bbninni,yicaichina
a83849577,nathanlawkc
jakechu10,nathanlawkc
loveme92871244,TorontoFarmEN
Thetruthofthew4,lheais
WorldCi73543373,taro_taylor
YouthChina,globaltimesnews
fhcluk,taro_taylor
masakawa68000,Q_Niu
Tonnny2012,ChinaConSydney
etOr2CVOahs2WYP,taro_taylor
yicaichina,
naenarayaa,senjatanuklir
EchoHito,
qingtingchan,TorontoFarmCN
Ricky28236815,shou30jin
Thetruthofthew4,Jingjing_Li
ruchern_chong,CarlZha
Thetruthofthew4,Jingjing_Li
RichDent,Jonah_writer
Thetruthofthew4,SpokespersonCHN
ck_snowbabi,shou30jin
Mamatjan15,Alfred_Uyghur
hklbj,nathanlawkc
Cecilia61261382,SpokespersonCHN
qingtingchan,TorontoFarmCN
LyssaNNZ,aizhongchina
Grace44396551,nathanlawkc
Jonah_writer,
MoronVerbose,shou30jin
viriyabot,tworldreviews
nikash113,Dhillon1138
Alanpanda7,
saturdayfeb26,yicaichina
Alanpanda7,
_3s2krz88,taro_taylor
MostaPi,shou30jin
AoKRaFNKaaC,taro_taylor
TheDrBlanc,mariocavolo
subnet142,nathanlawkc
siu_head,taro_taylor
genzj,Alfred_Uyghur
ThanHtetSoe16,nathanlawkc
AccuInt7799,TorontoFarmEN
indurban1,ChinaTeacher1
TheDrBlanc,MscAmir1
Pot7Hot,
free_hkg,nathanlawkc
Bobby44562471,taro_taylor
levi_lu,
JudyLemore,nathanlawkc
zendayamywifey,spyropic
mariocavolo,CarlZha
neilyeoh,nathanlawkc
Kellykwli2,TW_nextmedia
_Poolish,nathanlawkc
abiteofrainbow,Alfred_Uyghur
Lee260X,nathanlawkc
sanmurenbai,jooeysiiu
Jeppie90815913,taro_taylor
ArManHKCN,taro_taylor
Jannis44186536,aizhongchina
Sabista_,CarlZha
bakagoncosplay,chinese4uyghurs
Killthe26973370,
joe5758,China2ASEAN
ChinaDaily,shou30jin
tworldreviews,
Hsumyat1122,nathanlawkc
shou30jin,
marytsangsiu19,nathanlawkc
AnwarFadzil,CarlZha
WaqarMustafavi,globaltimesnews
e9IhphYOvwyUGBj,TW_nextmedia
t_hypocracy,ChinaTeacher1
hk_d9,nathanlawkc
ZhengTuo3,Jingjing_Li
khurram786khan1,
Metsutx,chinese4uyghurs
sora25504066,
tracyinsg,ChinaConSydney
ppp_w21l,taro_taylor
fly65162080,CarlZha
Neil_8977,TW_nextmedia
HuangHe_on,nathanlawkc
Katniss96301823,nathanlawkc
Amiemie15,nathanlawkc
Lin95Li,
ChrisHF13,nathanlawkc
YichunHan,YichunHan
pngurb,Jingjing_Li
YichunHan,
ruchern_chong,mariocavolo
mysuperbusylife,taro_taylor
5pk7Vnbeyzc2NWw,SpokespersonCHN
jerrylyoung1789,taro_taylor
pramk2,CarlZha
c4S1DygFoic95tQ,Alfred_Uyghur
RobertF23004448,taro_taylor
comedianotaro,CarlZha
desertfox61I,CarlZha
David_Parallax,CarlZha
Ayami_nya,taro_taylor
